HOOK	SEAL	SHRIMP	CHAIR	GLOVE	GATE	PALM	HAT	MOUTH	THUMB	BATH	WORLD
SWAMP	TRASH	JAR	DITCH	ROSE	PIT	PARK	FLUTE	BREAD	PIE	CAKE	FENCE
DUCK	MUG	PIPE	APE	WORM	PLATE	WEB	DEER	BEAN	MOTH	SEED	MAT
KEY	SHIELD	HOUSE	CHALK	WING	STREET	FORT	DOLL	DOCK	MAP	ELF	SHOE
SUN	ROOM	BADGE	BOX	SOAP	FOAM	SHIRT	BAG	CROWN	STRING	FAN	WHALE
NOSE	MAZE	BUSH	WEED	SWORD	SQUARE	LAND	HILL	CLIFF	BOY	LAKE	ROCK
BOWL	CART	LOCK	PEA	BROOM	FLOOR	BENCH	CHIN	TEA	SUIT	BED	POOL
CORN	STRAW	STEAK	STOVE	COW	PANTS	BARN	PURSE	SEAT	GUARD	PEN	RIB
VEST	CANE	DRESS	BLUSH	BLOOM	LIP	AXE	TIE	SOCK	POND	HAND	VASE
FISH	FUR	SINK	MUD	CROW	STICK	WAND	GEESE	SNAIL	CAGE	ZOO	STOOL
CAR	EGG	TOAD	HEART	ICE	PLANT	SHARK	BOMB	ROOT	SHIP	FILM	STAR
MULE	HORSE	SLIME	STAIR	MILK	CLOUD	NAIL	RAIN	CUP	RICE	FOOT	SALT
GOLD	SHEEP	CAPE	MOOSE	TOOTH	TEETH	SAIL	FOX	LEAF	ANT	STEM	MOUSE
SMOKE	SIGN	JAIL	JUDGE	TOAST	SOUP	DESK	SLEEVE	FACE	PIN	SMILE	ARK
WOLF	SPOON	FOOD	KITE	PIG	WOOD	PET	BRANCH	BEAR	FRUIT	TREE	CHIEF
FLEA	SNAKE	HAWK	BEE	FORK	BRICK	SHELL	SPONGE	CLAY	STONE	CUBE	PEACH
POLE	CHEEK	PHONE	DIME	COIN	SPEAR	CONE	ARM	DRUM	GRAPE	HOSE	FROG
JET	PLANE	OAR	SHEET	TRAIN	PEARL	BANK	STEAM	STORE	MAIL	CASH	SCHOOL
FLAME	STORM	SPARK	PASTE	INK	PEAR	BEAK	JUICE	FLAG	CLOTH	TANK	BOARD
BOOK	WHEEL	CLOCK	TOOL	MOLE	RAT	FUDGE	GLASS	CLOWN	LAMP	JEEP	TRAY
GRASS	MOON	SLUSH	NEST	BALL	GOAT	BIRD	VINE	PRINCE	BAT	CAT	NET
RAKE	EAR	HOLE	LEG	CORD	YARD	COUCH	ROPE	TAIL	LAWN	BAND	DART
TENT	SEA	TOY	HORN	OAK	BEACH	ROOF	WAVE	BOAT	CAVE	SKY	BRUSH
SKI	CRANE	OWL	WALL	BOOT	SNOW	THREAD	HOOF	TOE	DOOR	RUG	SPRING
ROAD	DOG	SKUNK	FOG	HEN	LAMB	FARM	EEL	CALF	TRUCK	VAN	BRIDGE
