TRAY	JET	FORK	NOSE	TEA	SHIRT	RUG	LEG	HAT	TOE	CLOTH	RIB
CAR	FLOOR	ROAD	GUARD	ROOF	GOAT	MUD	SLUSH	GLASS	STOVE	FAN	JEEP
JUICE	SPONGE	SOAP	FROG	ROOM	PALM	SEA	TEETH	PLATE	TOOTH	SNAIL	SALT
CLOWN	BOOT	WORM	DEER	HAWK	CROWN	PIT	FISH	MOUSE	STEAK	TAIL	WORLD
PET	HOLE	SLEEVE	CUBE	NAIL	COUCH	BARN	YARD	PIN	WALL	LAWN	TIE
LAMP	BRIDGE	MOLE	STAIR	CHIEF	NET	LOCK	CART	PHONE	MAZE	FARM	WAND
SKI	SHRIMP	PLANE	DART	CLAY	CLOUD	BALL	BOMB	MOON	WHEEL	FILM	BAT
MAT	HOOK	MOOSE	SKY	SUN	BEACH	DOCK	WAVE	FLAG	EAR	SPEAR	BADGE
POND	COW	BOY	HEART	CORD	FOAM	PEAR	BED	EGG	TOAST	HILL	TOY
BENCH	CLOCK	TRUCK	DESK	BATH	BAG	SPOON	FUDGE	BOX	MUG	HAND	VAN
TANK	LIP	HOOF	PARK	STICK	CASH	FUR	CAVE	CALF	ZOO	SPRING	ARM
FORT	STEM	SWORD	HORSE	SAIL	COIN	ROOT	STAR	LEAF	SHIP	SHELL	APE
CONE	TRASH	PLANT	SMOKE	DOG	TOAD	FLAME	WEED	BEE	SEED	BUSH	FOG
PEARL	MAIL	BOOK	MULE	SHEEP	BEAN	CORN	BEAK	GRAPE	RICE	LAND	GOLD
PURSE	CHAIR	KITE	STOOL	CHIN	BRUSH	CANE	ROSE	DRESS	BLOOM	SQUARE	SOCK
SIGN	KEY	MOUTH	DRUM	JAIL	SCHOOL	JUDGE	BLUSH	FOOT	PASTE	INK	BOARD
MAP	LAKE	SNOW	TRAIN	SKUNK	CAPE	ICE	ROCK	RAIN	POLE	BAND	SLIME
PIE	CUP	SEAT	SINK	SMILE	VEST	OAR	PEACH	CAKE	SHIELD	GLOVE	DIME
JAR	MILK	STORM	DITCH	FLEA	MOTH	STRAW	SOUP	CHEEK	RAKE	ARK	FRUIT
RAT	CAT	ANT	FOOD	STORE	BANK	DUCK	PIG	GEESE	WOLF	FLUTE	LAMB
BROOM	PANTS	SWAMP	BREAD	BRANCH	FOX	BOWL	CROW	TREE	BEAR	SHOE	PEA
STRING	BOAT	HEN	CLIFF	STEAM	CHALK	STONE	SHEET	OWL	PEN	WHALE	GRASS
BRICK	CRANE	TOOL	HOSE	AXE	THUMB	VINE	SUIT	WOOD	PIPE	OAK	EEL
HORN	PRINCE	GATE	FACE	THREAD	FENCE	ELF	POOL	STREET	SPARK	DOLL	TENT
VASE	BIRD	NEST	SHARK	HOUSE	DOOR	WING	CAGE	ROPE	SEAL	WEB	SNAKE
