COUCH	HORN	JUDGE	OAK	MUD	STRAW	APE	ARM	MOUTH	JAIL	SNAKE	BATH
CALF	DITCH	BEACH	OWL	SEA	SHELL	PEA	HORSE	SOCK	MULE	SKUNK	CLAY
JET	SAIL	CLOCK	SPARK	EAR	SHIP	BLUSH	PLANE	LAMP	PHONE	CAR	DOG
HOUSE	HAWK	WAND	GEESE	STAR	CLOUD	PEARL	SWORD	STAIR	GOLD	ROAD	BRIDGE
BRICK	ROOM	TIE	SLIME	DESK	CHALK	MAZE	SCHOOL	BAND	FLAG	FLOOR	GLOVE
CLOTH	ZOO	GUARD	DEER	INK	MAIL	FOAM	PIT	BADGE	CAGE	BEAK	SHEET
WALL	VEST	SLUSH	BOX	THREAD	PASTE	WOOD	PIN	SQUARE	DOCK	BOARD	YARD
TAIL	WOLF	NEST	KITE	DUCK	RAT	HOLE	PIG	PRINCE	RAKE	BARN	PEN
MOLE	SNAIL	CAVE	BEAR	JEEP	SEAL	WEED	LOCK	WHEEL	FLEA	GATE	KEY
CHIEF	BENCH	PALM	SHIELD	CAKE	COIN	ROSE	RICE	CHAIR	CUP	DRUM	FROG
CORD	SHEEP	FILM	TOOTH	FORT	CASH	BEAN	SHARK	TOAD	BANK	BOOK	TEETH
CONE	TRAY	SWAMP	LAND	LEAF	FORK	DRESS	ARK	ROOT	SEED	LAWN	TOAST
WEB	SHOE	WHALE	TENT	FUR	STOOL	PANTS	TOE	GOAT	ROOF	FAN	FACE
BOOT	CROW	CANE	BOWL	SPRING	COW	GRASS	BROOM	BUSH	STOVE	CUBE	HEN
MILK	DIME	FOOD	OAR	HEART	CROWN	STEAK	TRAIN	LAMB	SMOKE	EGG	PLATE
PEAR	POND	GLASS	SOAP	SPOON	SPONGE	GRAPE	SHRIMP	WORM	JAR	WORLD	PEACH
ROPE	NET	FUDGE	FOX	SUN	SOUP	VINE	SKY	FRUIT	BRANCH	STORM	BOAT
HOOK	POOL	MOUSE	MAT	PET	BALL	TOY	FLAME	DOLL	CAT	NAIL	FISH
STRING	VAN	CART	CLIFF	LEG	TOOL	SKI	SPEAR	CRANE	WAVE	RIB	TRUCK
STICK	MUG	FOOT	CHEEK	RUG	DOOR	THUMB	EEL	CHIN	LIP	SIGN	BED
TEA	FARM	SEAT	BRUSH	AXE	SLEEVE	CORN	HOSE	SMILE	POLE	DART	HAT
BAT	MOTH	STEM	STORE	CAPE	FOG	PLANT	HOOF	MOON	BIRD	WING	ANT
STREET	PARK	CLOWN	TREE	BLOOM	VASE	HILL	PIE	BEE	JUICE	ELF	BREAD
SALT	TRASH	MAP	ICE	SNOW	STEAM	BOMB	ROCK	TANK	LAKE	MOOSE	STONE
SINK	RAIN	PURSE	BAG	NOSE	FENCE	PIPE	HAND	SUIT	BOY	FLUTE	SHIRT
