MULE	STORM	HEN	EGG	SKI	PEN	FORT	BEAK	SAIL	FARM	FUR	TRAIN
BLOOM	BROOM	BRANCH	ROAD	OAK	GRASS	VINE	STRAW	ROPE	PANTS	PEACH	WEED
PIPE	STRING	ROOM	DART	BAND	CHEEK	NEST	HAT	DOLL	BIRD	CRANE	TAIL
BADGE	JUDGE	BOOK	PIG	PLANE	SHEET	CAR	SMOKE	SHEEP	WAVE	ARK	JET
FOOT	HORSE	CALF	BAG	NOSE	DITCH	WAND	SHIRT	MOUTH	CHALK	SINK	MUD
CAT	TANK	BOAT	SPARK	WORM	HOSE	TRASH	KITE	FISH	WHEEL	DOG	LAND
SEAL	GOLD	GUARD	NAIL	SQUARE	CAPE	TOOL	CROWN	SWORD	HAND	BLUSH	PIT
HILL	CLOUD	SHOE	BOX	RICE	TOAST	RAIN	ELF	FILM	CHIN	SWAMP	SALT
STEAM	SIGN	WHALE	SHIELD	ICE	CROW	AXE	JEEP	SPRING	SLEEVE	GEESE	GATE
SCHOOL	PIN	CLOCK	FLAG	THUMB	BOY	WORLD	DESK	BRIDGE	THREAD	INK	POOL
BRUSH	FLAME	STICK	ROSE	POND	PARK	SLIME	DEER	LIP	MAT	CLIFF	JAR
HAWK	BEE	SEAT	CORN	COW	BARN	OWL	PET	LAMB	SKY	FLEA	EEL
MAIL	BANK	STORE	LAWN	PHONE	KEY	FUDGE	CASH	WALL	MILK	FOG	HEART
DUCK	ZOO	SOUP	CLAY	MOUSE	SKUNK	ANT	MOOSE	ROCK	SPONGE	TENT	SNAKE
BRICK	POLE	JAIL	MAP	MOON	CORD	BOMB	OAR	STAR	STEM	BAT	TOOTH
TEA	SHRIMP	LAMP	SUIT	FOOD	TOE	HOOF	ROOT	BEAN	RAKE	SOCK	BATH
SOAP	GRAPE	FLUTE	BENCH	FAN	JUICE	FRUIT	COUCH	GLASS	BOWL	BOOT	CANE
PASTE	PEAR	LEG	APE	CONE	SEED	CLOTH	LEAF	RAT	WING	CHIEF	PLANT
BALL	GLOVE	DRUM	PALM	PLATE	PRINCE	CHAIR	NET	TREE	VASE	SHARK	COIN
EAR	HOUSE	DOOR	STREET	DIME	BED	CAKE	CART	FENCE	CUP	SLUSH	STAIR
STONE	FOAM	CUBE	BEACH	ROOF	CAVE	WEB	HOLE	BUSH	SNAIL	LAKE	SPEAR
RUG	YARD	STOVE	LOCK	FACE	BOARD	CAGE	HORN	DRESS	DOCK	WOOD	TOY
SUN	TOAD	SEA	SNOW	WOLF	SHIP	RIB	MOLE	MOTH	TEETH	FOX	BEAR
TRAY	SPOON	TIE	FROG	SMILE	FORK	VEST	ARM	BREAD	GOAT	PIE	STEAK
MUG	TRUCK	STOOL	PURSE	SHELL	PEARL	MAZE	FLOOR	VAN	HOOK	PEA	CLOWN
