JET	BRIDGE	WAVE	SPEAR	SAIL	PRINCE	ROAD	PLANE	BOAT	FOG	DOCK	BEAK
GEESE	ICE	FISH	SLIME	CAPE	FORT	TANK	STRING	GOAT	SKY	BAT	LAKE
SHEEP	DRUM	VINE	CROW	RAIN	BRUSH	DEER	FROG	PASTE	TEETH	ROOT	CHIEF
TOAST	STICK	DART	CHEEK	FAN	CUP	DRESS	PIE	PLATE	WALL	FLOOR	ROSE
THUMB	SLEEVE	FENCE	YARD	PEN	COUCH	TAIL	GATE	POOL	BAG	CUBE	ROOM
TOOL	CLOWN	EGG	POND	ZOO	WHEEL	TOAD	CAT	MOUSE	SPONGE	MOOSE	CLOCK
DESK	BREAD	WORLD	BENCH	STOOL	MOUTH	SKUNK	RAT	BUSH	SINK	BROOM	VASE
INK	BOY	FILM	WHALE	CASH	AXE	CRANE	BLOOM	BRICK	MAZE	PEACH	STONE
SIGN	DOG	WEED	CHIN	VAN	PET	BATH	SMILE	CONE	CHALK	FLEA	EAR
HOSE	SOAP	MAIL	SLUSH	FOAM	STORE	GRAPE	JUICE	RICE	BANK	FOOD	MULE
STAIR	NET	BALL	SHEET	SCHOOL	MAP	WAND	BOARD	BOOK	TRAIN	DUCK	JUDGE
ROPE	HAWK	OWL	PIG	LAWN	HOUSE	FOOT	BIRD	COW	CAVE	SPRING	BLUSH
SNOW	CLAY	STRAW	SQUARE	MUD	STORM	THREAD	CLOUD	LAND	LAMP	SHARK	RUG
PIPE	HAT	CAKE	GUARD	DIME	GLASS	GLOVE	SWORD	CHAIR	TRAY	CROWN	KITE
SHELL	PEAR	SHRIMP	BOX	PALM	PIT	BEACH	JAR	WOOD	SEA	FUDGE	ARM
STOVE	CALF	MUG	APE	FOX	WOLF	HOOK	BARN	NOSE	HEN	FARM	FORK
GOLD	KEY	SUN	SEED	SPARK	STEAM	LEAF	OAR	PLANT	COIN	BOMB	CORN
BED	TEA	PANTS	TOY	CLOTH	GRASS	OAK	FUR	SOCK	MAT	TIE	LAMB
POLE	CART	SUIT	ELF	PARK	SEAT	FLAG	TENT	TRUCK	ROOF	VEST	BAND
HAND	BEE	DOOR	FLUTE	BRANCH	TREE	MOLE	CANE	DOLL	HOLE	WEB	SNAKE
PEARL	CAR	HORSE	PEA	BEAR	SHIP	ROCK	SMOKE	NEST	MOON	STAR	TOOTH
STEM	WORM	SALT	CORD	RAKE	SNAIL	RIB	ANT	MILK	HEART	MOTH	FRUIT
LIP	TRASH	BOWL	BEAN	STEAK	SPOON	FACE	EEL	SHIELD	SEAL	SOUP	PURSE
JEEP	DITCH	JAIL	NAIL	LOCK	PHONE	HOOF	WING	CAGE	FLAME	PIN	HORN
LEG	SHOE	SWAMP	SKI	SHIRT	TOE	CLIFF	BOOT	BADGE	STREET	ARK	HILL
