THUMB	SLEEVE	FROG	SUIT	BOARD	BRUSH	PIPE	NAIL	PURSE	FORK	BENCH	SINK
SOAP	PALM	CANE	JAR	POOL	TOAST	VASE	TRAY	COUCH	HOUSE	CUBE	VAN
JUDGE	KEY	BOY	DESK	CASH	FLAG	BADGE	ROOM	CAR	SIGN	ARK	PIE
HOLE	BED	TRAIN	CART	MAT	MAZE	HAT	PARK	TRUCK	SQUARE	PRINCE	HOOF
MAP	BEAR	STEM	POLE	TOOTH	INK	TEETH	SLIME	SALT	ROOT	WHEEL	BANK
RAKE	SPRING	WORM	BLUSH	MOLE	ROAD	LEAF	WEB	TAIL	BUSH	FLEA	CAGE
FLAME	SKI	PIN	APE	WAVE	BROOM	FUR	SNOW	FOG	BEACH	DRUM	LIP
MOUTH	DOLL	SEAL	WEED	CLOWN	TIE	PET	CLOTH	FAN	WOLF	RAT	SOCK
STORM	FOAM	STRAW	TRASH	CLIFF	STAIR	GLASS	WHALE	BRICK	SMOKE	ROPE	ROCK
CHIN	SEED	SOUP	VINE	CHAIR	BRANCH	FUDGE	FRUIT	JUICE	TOE	PIT	STEAK
SUN	CAPE	BATH	SAIL	LEG	ROSE	RUG	MOOSE	BOAT	ICE	CAKE	FENCE
HAWK	MAIL	BOOK	STORE	HORSE	CORD	BAT	PEA	JET	JAIL	TOOL	SHEET
LAND	LAKE	FARM	TOY	ZOO	TEA	HEART	CAT	BRIDGE	SHRIMP	FORT	GOLD
DOOR	SMILE	CLOCK	OAR	LAMP	STOVE	FLOOR	PEN	STICK	BOOT	DIME	ARM
PHONE	GRAPE	KITE	CONE	LOCK	MILK	MOUSE	CROWN	PEAR	SNAKE	SHOE	PEARL
COIN	WALL	GLOVE	SHIELD	SPARK	RAIN	SPONGE	BOX	HOOK	BALL	ELF	HOSE
OAK	CUP	MUG	SHELL	PASTE	EGG	WAND	SPOON	HEN	LAMB	WOOD	PEACH
SEA	STAR	SHIP	STEAM	BOMB	JEEP	PLANE	MOON	FILM	CLOUD	TANK	FLUTE
DRESS	LAWN	BARN	SCHOOL	VEST	MUD	ROOF	NOSE	FACE	STREET	SHARK	CHEEK
GATE	HILL	MULE	NEST	DOG	GEESE	CHIEF	EEL	GOAT	SKY	DUCK	SWORD
GUARD	SWAMP	STONE	DART	CALF	CAVE	CORN	PIG	CLAY	DEER	DITCH	SPEAR
MOTH	WING	RIB	THREAD	NET	POND	SNAIL	FISH	STRING	HAND	OWL	SKUNK
FOX	BAG	COW	CRANE	DOCK	AXE	EAR	GRASS	CROW	TOAD	WORLD	SHEEP
TENT	STOOL	HORN	SHIRT	YARD	BOWL	SEAT	SLUSH	CHALK	PLATE	PANTS	BAND
BEAN	BIRD	FOOT	BEAK	PLANT	BLOOM	ANT	BEE	FOOD	BREAD	RICE	TREE
