BRICK	CAKE	RAIN	SOUP	FLOOR	SNOW	SHARK	CHALK	TOAST	TRASH	PHONE	LAMB
PLANT	BIRD	SHELL	FOOD	TAIL	SWAMP	GEESE	BEACH	DUCK	FUR	BLUSH	WING
STOOL	SOCK	LOCK	PALM	BOWL	WALL	STEAK	LAMP	CHAIR	JUICE	WEED	DOLL
STICK	DIME	JEEP	PIT	FOX	WOLF	ANT	SHIELD	ROCK	CRANE	NEST	BEAK
SPRING	SALT	FOOT	FLEA	SHRIMP	STEAM	ELF	MOLE	THUMB	POND	DITCH	RAT
LEG	CORD	BOX	HORN	FENCE	BENCH	TRAY	TOY	HOLE	BATH	JAR	HOSE
BED	AXE	PANTS	CLOCK	THREAD	FLAG	SUIT	CLIFF	CLOTH	BOAT	RIB	SOAP
CAT	KEY	WHALE	SIGN	CAR	WAVE	JAIL	JUDGE	DRESS	EAR	SKI	TRAIN
HAND	LIP	GLOVE	FLAME	BOARD	SWORD	TIE	HOOK	PIN	MOUTH	BADGE	ARK
TRUCK	SLEEVE	PET	APE	GLASS	SHOE	ZOO	CUP	PIPE	PEN	SKUNK	STREET
GOLD	JET	CASH	BANK	BOMB	MAIL	BOOK	DART	MAP	FORT	TOAD	FILM
PURSE	OAK	CHEEK	CANE	MAZE	CHIN	SMILE	FROG	ROSE	COUCH	LAWN	MAT
STORE	BEAR	BLOOM	SHEEP	DEER	SMOKE	BREAD	FLUTE	FARM	HORSE	HEART	PRINCE
MULE	SEAT	OAR	SUN	ICE	CONE	PLATE	WHEEL	SCHOOL	ROOT	FOG	NAIL
LEAF	SAIL	SPEAR	VINE	LAND	TEA	CAVE	PEA	BOY	CORN	SEA	CHIEF
PASTE	SHEET	TOOL	TANK	COIN	STEM	NET	MOOSE	INK	TOOTH	FRUIT	RICE
PARK	BALL	FACE	FAN	SQUARE	BAT	SLIME	STONE	CLAY	MOON	STOVE	BROOM
BRUSH	STRING	DOCK	STORM	BRIDGE	ROAD	BAG	ROOF	PEACH	STAIR	MUD	CUBE
SHIRT	ROPE	EEL	BAND	GOAT	YARD	FOAM	GATE	POOL	LAKE	GUARD	RUG
HEN	SINK	BOOT	CART	POLE	PIG	NOSE	MILK	BEAN	HAT	PIE	SLUSH
CAPE	PLANE	PEARL	CLOUD	SPARK	DOOR	VAN	FUDGE	SHIP	SKY	STAR	DRUM
CROWN	TEETH	TREE	HOOF	BEE	DOG	BUSH	SEAL	GRAPE	WORM	SEED	COW
SNAIL	CROW	MOTH	BRANCH	MOUSE	WEB	RAKE	KITE	HAWK	SNAKE	OWL	TENT
VASE	HOUSE	ROOM	VEST	HILL	CAGE	WAND	STRAW	BARN	TOE	DESK	MUG
GRASS	CLOWN	WOOD	CALF	FORK	ARM	SPOON	PEAR	SPONGE	FISH	EGG	WORLD
