RAIN	SKI	DRUM	CAR	CROWN	STAIR	KEY	DOOR	CHIEF	WAVE	TOY	BLOOM
COW	STAR	HOUSE	DRESS	BRIDGE	GATE	STONE	FOX	TIE	SKY	PEA	HILL
SEAT	ROOF	HAND	BADGE	DIME	MAT	STICK	KITE	SMILE	SCHOOL	CANE	COUCH
FORT	ZOO	SHARK	ROCK	SAIL	BEACH	FLAG	FUR	DOG	FLEA	JAIL	TRASH
GUARD	FENCE	DOLL	BAT	LEG	HORN	OAR	FOOT	BOY	SOCK	LOCK	PEN
GLASS	FOG	TRAY	FUDGE	STEAM	JET	LAND	SALT	FLAME	CLOUD	SHIP	SPONGE
ANT	RAT	PEAR	BRANCH	CAVE	MOLE	HEART	SLIME	FOOD	BEE	BED	PLANT
NET	MILK	CASH	GOLD	STEAK	GRAPE	CORN	CLOTH	FILM	PIG	BEAK	PEARL
ROPE	DUCK	SNAKE	TENT	MAZE	HAWK	WEED	OWL	DEER	BROOM	ROAD	DOCK
NOSE	TAIL	PIT	PRINCE	MOUSE	SHIELD	ARM	TOE	WALL	SPEAR	HOOF	LAWN
WORM	EGG	HOOK	WING	FISH	STORM	SEA	WEB	SHRIMP	SHELL	CUBE	BOAT
SLEEVE	DITCH	VINE	BUSH	SNAIL	WHEEL	BIRD	EAR	SWAMP	HOLE	EEL	CRANE
WOLF	SHEEP	RUG	SPARK	SUN	CONE	ICE	WHALE	NAIL	CLIFF	JEEP	CROW
ROOT	TREE	POOL	DART	RICE	LEAF	OAK	STEM	SEED	LAMB	MUG	TEA
FARM	LAKE	SNOW	RAKE	CALF	SPRING	GRASS	SKUNK	WOOD	SIGN	ELF	MOTH
CLOCK	SPOON	SWORD	VAN	BOOK	ROOM	STREET	BLUSH	SOUP	TRUCK	GOAT	CART
GLOVE	PIPE	FAN	PURSE	BAND	PIN	WAND	TOOL	THUMB	YARD	VEST	DESK
MOUTH	ROSE	FLOOR	PARK	SHOE	BOOT	CLOWN	SUIT	CAPE	JUICE	WORLD	BAG
CLAY	INK	CHIN	BANK	PEACH	STOOL	BENCH	THREAD	LAMP	SOAP	FLUTE	PASTE
NEST	CAKE	CHEEK	FACE	FORK	CUP	MOOSE	AXE	TOAST	HEN	FRUIT	PALM
POND	STRAW	SLUSH	CAGE	VASE	SINK	JAR	SEAL	GEESE	HAT	BOX	PET
LIP	STORE	SHIRT	RIB	MULE	BOWL	BREAD	CHAIR	BEAN	PANTS	BARN	STOVE
POLE	HORSE	BALL	APE	CORD	MAP	MAIL	TOAD	TEETH	BEAR	CAT	JUDGE
TANK	HOSE	BOMB	COIN	PLANE	BRICK	PLATE	SQUARE	MOON	SHEET	ARK	TRAIN
BRUSH	MUD	PHONE	CHALK	SMOKE	BATH	FOAM	FROG	STRING	BOARD	PIE	TOOTH
