DRESS	DITCH	KITE	ROAD	GATE	TIE	AXE	STOOL	NOSE	SWORD	SLEEVE	COUCH
STEAM	POOL	BATH	DOOR	BUSH	ROOF	FENCE	ROPE	SALT	SPOON	PIPE	FROG
HORSE	BRICK	TEETH	SHRIMP	ZOO	SKI	GRAPE	BLUSH	MOON	SHIP	TRASH	BOMB
TRAY	ROSE	BEACH	BOAT	LEG	SUN	FLOOR	RICE	DRUM	STAIR	VEST	TOY
LAND	MAP	SPARK	WORLD	MOTH	SHEEP	CHIEF	POND	STEM	CORN	THREAD	SEED
STORE	VASE	FRUIT	PURSE	DESK	TEA	LIP	LAMB	PLANT	PEACH	APE	FOOD
STICK	LAKE	CUBE	CHALK	GUARD	JAR	PALM	TENT	SNAKE	CLIFF	CUP	SINK
CAR	CLAY	PASTE	LEAF	ROOT	NEST	CRANE	SKUNK	SOAP	TRUCK	HOOF	TREE
BRIDGE	CAKE	TRAIN	ICE	JAIL	CHAIR	DART	BADGE	CLOCK	STREET	MULE	BENCH
FLAME	JET	FUR	SNOW	PLANE	CAPE	DUCK	SHARK	STORM	SPRING	HAWK	WOLF
ROCK	BLOOM	STONE	FUDGE	FLAG	MAZE	FOG	SMOKE	DOCK	CONE	BOY	FORT
CHIN	FORK	OAR	DOLL	DEER	SEAL	PET	BRUSH	GOAT	DOG	CAT	SOUP
WHEEL	PIN	BAND	WAND	SKY	POLE	GLASS	LAWN	HOUSE	LOCK	CART	BED
ROOM	FOOT	JEEP	HOSE	SPEAR	FACE	HILL	SEAT	PARK	OAK	TANK	PEA
JUICE	PEARL	SMILE	RIB	WORM	SNAIL	MOLE	BEE	FLEA	TOAD	TOOTH	ANT
COIN	TOOL	MAIL	RAIN	BANK	KEY	ARK	SHEET	PHONE	CLOTH	BOOK	RAKE
SWAMP	HEN	HOLE	OWL	BROOM	TAIL	EEL	YARD	BREAD	TOAST	PIE	PEN
WOOD	STOVE	BOX	HAT	DIME	BARN	BOOT	MUG	THUMB	SHIRT	SQUARE	SLIME
MOUSE	SHELL	HORN	WALL	BEAN	SUIT	PEAR	MOOSE	RAT	EGG	RUG	SHIELD
CLOWN	PLATE	GOLD	PANTS	SIGN	SCHOOL	PIG	WHALE	CAVE	CROWN	GLOVE	BEAR
FOX	FARM	CROW	MUD	BAG	BRANCH	ELF	TOE	WEB	COW	CANE	VINE
SAIL	STAR	FILM	PRINCE	JUDGE	BALL	BIRD	NET	CLOUD	INK	HEART	FLUTE
BAT	FAN	STRING	SHOE	FOAM	MOUTH	GEESE	BEAK	EAR	WING	STRAW	WAVE
ARM	SPONGE	PIT	GRASS	CHEEK	STEAK	FISH	BOWL	SEA	CALF	MILK	WEED
HOOK	CORD	LAMP	SLUSH	SOCK	CAGE	HAND	VAN	MAT	CASH	BOARD	NAIL
