RICE	EGG	CORD	NET	WAVE	POLE	PEA	TOAD	SHEET	CASH	HEN	COIN
YARD	HOLE	BUSH	OWL	BRUSH	PIPE	CLIFF	MULE	SPEAR	BAND	FROG	ROOF
LAMP	BOX	CHAIR	PHONE	GATE	OAK	SHARK	LOCK	STREET	MAZE	CLOCK	LAWN
MAT	COW	PIE	BREAD	DOLL	VASE	SPRING	SINK	SEAT	SHEEP	CLOTH	BLUSH
SQUARE	CART	BOWL	BOY	WOOD	BOAT	CROWN	CLAY	CANE	SLEEVE	SWORD	CUBE
SCHOOL	RAT	VAN	PET	HAWK	SKUNK	POND	DUCK	BOARD	DOCK	STORE	APE
CROW	SOAP	RUG	SUIT	FAN	GOAT	RIB	BOOT	SHIRT	FENCE	BROOM	PANTS
BRICK	MAIL	FILM	JUDGE	DOOR	CAR	BOOK	KITE	INK	SKI	BANK	JAIL
BENCH	COUCH	POOL	AXE	TEA	FLOOR	LEG	HOUSE	PURSE	PALM	DART	SHOE
MAP	SEED	SHELL	GOLD	SNAKE	PLANT	WORLD	STEM	ROSE	MOTH	CLOUD	KEY
VINE	EAR	FOOD	HEART	BED	HOSE	TRAIN	MOUSE	SMOKE	ROOM	MOOSE	CAKE
NAIL	PIT	FOOT	FACE	HILL	STICK	SOCK	DRESS	CONE	FLAME	BAG	FUDGE
BAT	FLEA	NEST	WHALE	HORN	PIG	ANT	SNAIL	TAIL	WORM	BALL	BEE
SHRIMP	SALT	STRING	DIME	SPOON	SPONGE	ZOO	CLOWN	PASTE	TOOL	TEETH	ELF
MOON	GRAPE	ICE	PLANE	JET	CAPE	SLUSH	ROCK	DOG	STAR	PRINCE	FISH
FOAM	PEARL	PEACH	BEAN	JAR	DESK	SLIME	CUP	HOOK	SOUP	STOOL	FRUIT
SPARK	SEAL	THREAD	DITCH	FLAG	SAIL	TANK	TOY	GRASS	SEA	SHIP	PIN
PEAR	CALF	FOX	EEL	MOUTH	ROOT	CHIEF	LEAF	TOOTH	WEB	CHALK	BRANCH
LAMB	DEER	WAND	WOLF	RAKE	SNOW	ROAD	STONE	FORK	CRANE	BEAR	MOLE
JUICE	CORN	CAGE	MUG	HORSE	ARM	STEAK	TOAST	CAVE	GLASS	HOOF	PLATE
TOE	CHIN	WING	GLOVE	NOSE	CAT	FUR	OAR	TREE	SHIELD	ROPE	BLOOM
SMILE	LAKE	TRAY	SUN	THUMB	SKY	BEACH	BEAK	WALL	STORM	BIRD	TIE
BOMB	FORT	STEAM	DRUM	BARN	TRASH	FLUTE	WHEEL	RAIN	BRIDGE	LAND	FOG
TENT	GUARD	JEEP	ARK	LIP	PEN	CHEEK	BADGE	HAT	MUD	GEESE	HAND
STOVE	TRUCK	PARK	SIGN	BATH	STAIR	STRAW	MILK	VEST	SWAMP	FARM	WEED
