DESK	PEARL	DOG	KEY	JUDGE	MAZE	SHARK	RUG	BADGE	COUCH	SUN	MAIL
ARM	CHEEK	TOE	PET	TENT	PURSE	CAGE	PALM	GUARD	HORN	TOY	TAIL
FOOD	BRICK	PRINCE	WALL	SHIELD	PIE	FRUIT	CLAY	SHELL	SPEAR	CLOTH	FROG
SUIT	EAR	SWORD	CLOCK	PHONE	GATE	BOOK	MOUTH	BOY	HOUSE	BLUSH	VAN
BUSH	HAND	CHALK	FENCE	DEER	SKI	MULE	STORM	HILL	BRUSH	WAND	FOOT
STAR	SCHOOL	FLAG	VEST	BRIDGE	CLIFF	FACE	FORT	LAND	CHIEF	PEA	ROAD
GRAPE	SOAP	FISH	SHRIMP	BEAN	SPRING	LIP	RIB	RICE	DIME	STEM	LEAF
TOAD	MUD	PLANT	FUDGE	TANK	BOARD	SAIL	SPONGE	JET	SPARK	SEA	STEAM
CORN	SMILE	SKY	VASE	BOWL	BAND	OAR	CHAIR	STEAK	BENCH	LAMP	HOOK
CAPE	FLOOR	ROCK	EEL	NEST	MOTH	WING	ROOM	BEACH	WHEEL	RAIN	GRASS
BEAR	ZOO	PIN	WORM	BED	BIRD	SLIME	BRANCH	BALL	BAT	WOLF	FUR
COW	DOLL	HOOF	SOUP	STRAW	PASTE	OAK	CUP	TOAST	VINE	DOOR	PEAR
CORD	WAVE	JUICE	SHEEP	MAP	PLANE	CONE	SHIP	BOMB	POLE	ELF	MOON
MOLE	DUCK	TOOTH	SHIRT	BOAT	BOOT	SKUNK	TEETH	LOCK	SNAKE	ARK	CALF
DOCK	FOAM	DRESS	HOLE	SALT	JAR	ROSE	BEAK	SPOON	SINK	BATH	THREAD
BAG	GOAT	YARD	SNAIL	SHOE	FLEA	DRUM	GLASS	NOSE	WEB	WORLD	PEN
SNOW	BLOOM	FLAME	FOG	CLOUD	PIT	POND	CROW	LAKE	MAT	CUBE	JEEP
BEE	STORE	TRASH	APE	SMOKE	MOUSE	BANK	NET	MILK	CAT	CASH	HEART
RAT	BROOM	OWL	HEN	ANT	ROPE	STRING	KITE	FOX	CHIN	ROOF	THUMB
STOOL	TEA	GEESE	SOCK	CLOWN	PIG	FLUTE	BARN	TRUCK	FAN	HAT	MUG
AXE	ICE	PLATE	SHEET	JAIL	FILM	MOOSE	ROOT	CROWN	NAIL	TOOL	SEED
CAVE	STAIR	SWAMP	WOOD	CRANE	RAKE	HAWK	PIPE	HORSE	TREE	DART	BOX
SLEEVE	TIE	HOSE	CANE	TRAY	FARM	WEED	CAKE	STICK	SEAL	LAMB	POOL
EGG	FORK	SLUSH	SEAT	PARK	CAR	DITCH	GLOVE	PANTS	SQUARE	LEG	TRAIN
INK	BREAD	PEACH	CART	SIGN	LAWN	WHALE	STREET	STOVE	GOLD	STONE	COIN
