CAVE	STAIR	COUCH	DART	BED	MAZE	SNAKE	CLIFF	TOE	CHAIR	MUD	BROOM
SHEEP	GOAT	MOOSE	MAIL	SKI	BREAD	HAT	BADGE	RICE	SNOW	FOG	STORE
FOOT	MOON	PALM	STORM	FORK	SNAIL	OAR	CLOUD	BOAT	OAK	STOOL	BEACH
STONE	HORN	SPEAR	BUSH	DRUM	PEAR	SWAMP	FOX	LEAF	CHIEF	FLUTE	PLANT
LEG	PIG	RAT	CUBE	HILL	LAMB	ROAD	FENCE	COW	PET	CAT	CALF
CRANE	SEAL	FUDGE	PEN	INK	BANK	SHEET	BOOK	DESK	WALL	DITCH	COIN
JUDGE	BOMB	EAR	TRASH	MILK	STAR	DOG	FILM	WAVE	ZOO	POLE	ARK
PEARL	STEAM	JET	ICE	SEA	SPARK	SUN	SHARK	PIT	MAP	PLANE	SAIL
ROOF	GATE	ROCK	FLAME	CLAY	BOX	HOLE	WHALE	BEAN	THREAD	FOAM	SMOKE
GLASS	MUG	SOCK	FLOOR	SHOE	JAR	ELF	TANK	POOL	ROOM	CANE	RUG
GOLD	LAMP	MOLE	CROWN	SHIP	MOTH	NEST	BEE	EGG	TOAD	SHELL	HOOF
ROSE	FLAG	WHEEL	WORLD	SPOON	CAKE	YARD	DOCK	KEY	TOOL	STRING	HOSE
GEESE	SKUNK	RIB	WORM	LOCK	SPONGE	OWL	HEN	PIN	FOOD	FISH	WEB
HOUSE	TRUCK	FARM	BLUSH	SMILE	SPRING	VINE	LIP	LAWN	STICK	TREE	TENT
SEAT	MULE	TOOTH	PASTE	TRAY	TEETH	BEAK	BRIDGE	SALT	PIPE	SOAP	TOAST
BRICK	SEED	CORN	NET	STEM	HEART	TOY	CORD	SHRIMP	WOOD	BALL	ROOT
CUP	SOUP	SLUSH	BRUSH	FRUIT	THUMB	SUIT	PLATE	GRAPE	CHEEK	VASE	NOSE
CROW	CLOWN	SCHOOL	PRINCE	JUICE	BOARD	WING	DOLL	BRANCH	HORSE	BEAR	KITE
BOY	MOUSE	HOOK	WAND	RAIN	FAN	SKY	NAIL	BAT	GRASS	ANT	CHALK
DUCK	CASH	BARN	FROG	POND	ARM	DEER	RAKE	JEEP	PARK	WOLF	ROPE
CAPE	BAG	MAT	DOOR	STOVE	PURSE	SHIRT	BOOT	BATH	TEA	PEA	CLOTH
STREET	CAGE	DIME	SLIME	PANTS	SINK	FUR	AXE	TRAIN	SLEEVE	TIE	HAND
LAKE	MOUTH	PEACH	SQUARE	BLOOM	BIRD	TAIL	LAND	FACE	HAWK	EEL	SIGN
CHIN	STRAW	APE	CART	STEAK	VEST	DRESS	BOWL	BENCH	SWORD	GLOVE	GUARD
CLOCK	FORT	PIE	VAN	FLEA	SHIELD	WEED	CAR	CONE	JAIL	PHONE	BAND
