TRUCK	JEEP	ARK	PALM	POOL	CART	BAG	GRASS	DITCH	HOUSE	CHIN	BOX
BRIDGE	BAT	BALL	MOLE	TRAIN	TOAD	MAZE	PRINCE	CORD	CAR	EEL	BANK
LAND	CLAY	RAIN	CLOTH	CROWN	STRAW	GOLD	SLIME	SWORD	VINE	COIN	CORN
GATE	DRESS	SEAT	FACE	ROSE	MUG	SMILE	TIE	JAIL	SINK	CHEEK	WORLD
SHEET	OAK	PANTS	TENT	WOLF	INK	HOOF	SHEEP	BOY	KEY	BED	MAIL
WING	TOE	COUCH	FLEA	CUP	TREE	BLUSH	SNAIL	OWL	ZOO	PIT	DIME
STORM	CAVE	SPRING	SLUSH	BOWL	BARN	BROOM	CAGE	ROPE	CALF	YARD	FLOOR
SOUP	PIN	VEST	TOAST	THREAD	SOAP	CHALK	LAMP	TOOL	SPONGE	FUDGE	SHIRT
BOOT	CROW	MULE	FLUTE	WEB	ARM	BUSH	SHOE	BEAN	DEER	WORM	MOTH
SEA	HOSE	MOOSE	THUMB	FILM	ROAD	WHEEL	SEAL	TEETH	BEAR	CAKE	TOOTH
BLOOM	PIPE	BREAD	SEED	JUICE	FORT	TOY	LOCK	SALT	BRICK	RICE	FRUIT
FISH	SHIELD	SOCK	HOOK	RAKE	HORSE	COW	DOG	NOSE	POND	SKI	CUBE
STRING	DOLL	FROG	ROOM	CHAIR	LAWN	HORN	BOARD	HAND	DOOR	WOOD	DRUM
SKUNK	FOX	ROOF	FOOD	HAWK	CLOUD	CRANE	WEED	NEST	ANT	SNOW	HEN
STICK	FUR	DUCK	MOUSE	LAMB	PIG	SNAKE	BEAK	BRUSH	TAIL	FENCE	SWAMP
SIGN	CLOCK	PURSE	SUIT	FOG	STONE	SLEEVE	PEARL	PEAR	FLAME	DART	SQUARE
PEN	TEA	JAR	RIB	STEAK	TRAY	STOOL	MILK	VASE	CANE	RAT	DESK
DOCK	JET	MOUTH	PIE	STOVE	SPARK	PASTE	PEA	STEAM	SMOKE	VAN	PLANE
BEACH	ROCK	HEART	LEAF	LAKE	JUDGE	SHIP	APE	SHELL	CHIEF	CAPE	BRANCH
TANK	SCHOOL	CONE	GRAPE	SAIL	BEE	FLAG	ICE	PLANT	STEM	ROOT	KITE
EGG	HILL	ELF	WALL	HOLE	PLATE	GEESE	PARK	LIP	BENCH	GUARD	FOOT
MAT	BAND	SUN	RUG	FORK	PEACH	OAR	SKY	BOAT	FOAM	EAR	CLIFF
FARM	NET	WAVE	CLOWN	MAP	POLE	STAR	SHRIMP	MOON	TRASH	WHALE	CASH
MUD	LEG	WAND	BATH	GLOVE	FAN	SPOON	GOAT	SPEAR	HAT	AXE	BADGE
GLASS	STREET	STAIR	STORE	PHONE	NAIL	PET	BOOK	BOMB	BIRD	CAT	SHARK
