DRUM	HEART	SWORD	BENCH	PIPE	FAN	COUCH	KITE	LIP	LAWN	FORK	AXE
MAP	GRAPE	HOSE	TRAIN	BOOK	TREE	RAIN	CAR	POLE	KEY	PEA	JAIL
CHALK	ICE	CONE	WEED	MULE	TAIL	SNOW	FOG	SHIELD	PARK	SIGN	SHIRT
DOG	GOAT	HEN	DUCK	PET	SPOON	BLUSH	TRUCK	FLEA	JEEP	TOAST	RAT
JAR	STORM	OAR	STAIR	WORM	MOTH	SOAP	CLOTH	WEB	DIME	CRANE	STRAW
SKI	BIRD	DOOR	OWL	SOUP	STONE	MOUSE	CAKE	BROOM	SEED	GATE	WAND
LEAF	POOL	CART	BARN	STOVE	FENCE	HORSE	POND	HAWK	INK	NEST	FLUTE
MAZE	FACE	VASE	DITCH	BAND	BALL	SQUARE	CHAIR	STRING	BOARD	SLUSH	BAT
SOCK	LEG	TOY	BUSH	OAK	SHOE	ROAD	FOX	SEAT	SWAMP	FOOT	GRASS
MAT	FUR	SINK	TIE	CANE	BRUSH	EEL	STOOL	DOLL	BOOT	HAT	ARM
BRICK	CORD	BADGE	CASH	STEM	BEAR	BOMB	CLOWN	SPARK	GOLD	FUDGE	ROCK
COW	PHONE	BOY	PIE	BREAD	PURSE	WORLD	CLOCK	DRESS	SCHOOL	CHIN	FLOOR
PANTS	PEN	SHEEP	BATH	BED	SMILE	RIB	FOAM	PIG	CROW	THREAD	TRAY
TANK	PLANT	JET	BEACH	VAN	WING	BOAT	SHARK	LAMP	CUP	FLAME	GLASS
SPONGE	PIT	SNAIL	DEER	PALM	MUD	DART	TENT	FISH	SHRIMP	SNAKE	VINE
RUG	YARD	HOLE	WHALE	HILL	ROOF	ANT	CAGE	TOAD	MOUTH	MOLE	SHELL
BEE	WOOD	ROOT	NOSE	CAT	SKUNK	BRANCH	FROG	FRUIT	STREET	STORE	CHEEK
LOCK	VEST	HOUSE	ROOM	LAMB	ROSE	SKY	MUG	WALL	TEA	HOOF	BOWL
CAPE	ROPE	DOCK	FORT	STEAM	SAIL	SLIME	HOOK	PRINCE	FLAG	SEA	HORN
PASTE	SUIT	THUMB	CHIEF	JUDGE	BANK	CLIFF	SPEAR	COIN	BEAN	RICE	MOOSE
SUN	FILM	STAR	GLOVE	PLATE	PEACH	CLOUD	ARK	CLAY	EAR	WAVE	MOON
JUICE	LAKE	SALT	MAIL	LAND	PLANE	SHIP	TRASH	NET	SMOKE	SHEET	APE
STICK	PEARL	NAIL	BEAK	SEAL	PIN	WOLF	HAND	BOX	CAVE	ZOO	CALF
RAKE	CROWN	TOOTH	TOE	CORN	GUARD	DESK	TEETH	TOOL	BRIDGE	WHEEL	CUBE
STEAK	EGG	BLOOM	PEAR	FOOD	SLEEVE	ELF	GEESE	BAG	SPRING	MILK	FARM
